Regulated-By from All promoters of E. coli K-12 substr. MG1655	Matches	Mode	Promoters - genes downstream of promoter	Accession-1
Regulation of ppiAp4 by DNA-binding transcriptional repressor CytR	ppiAp4	-	ppiA	b3363
Regulation of ppiDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	ppiDp2	+	ppiD	b0441
Regulation of ppiDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	ppiDp2	+	ppiD	b0441
Regulation of ppiDp2 by DNA-binding transcriptional dual regulator CpxR-phosphorylated	ppiDp2	+	ppiD	b0441
Regulation of ppsAp by DNA-binding transcriptional dual regulator Cra	ppsAp	+	ppsA	b1702
Regulation of pqiAp1 by DNA-binding transcriptional dual regulator MarA	pqiAp1	+	pqiC // pqiB // pqiA	b0952 // b0951 // b0950
Regulation of pqiAp1 by DNA-binding transcriptional dual regulator SoxS	pqiAp1	+	pqiC // pqiB // pqiA	b0952 // b0951 // b0950
Regulation of pqiAp3 by DNA-binding transcriptional dual regulator MarA	pqiAp3	+	pqiC // pqiB // pqiA	b0952 // b0951 // b0950
Regulation of pqiAp3 by DNA-binding transcriptional dual regulator SoxS	pqiAp3	+	pqiC // pqiB // pqiA	b0952 // b0951 // b0950
Regulation of preTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	preTp	+	preA // preT	b2147 // b2146
Regulation of proKp by DNA-binding transcriptional dual regulator Fis	proKp	+	proK	b3545
Regulation of proLp by DNA-binding transcriptional dual regulator Fis	proLp	+	proL	b2189
Regulation of proPp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	proPp1	-	proP	b4111
Regulation of proPp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	proPp2	+	proP	b4111
Regulation of proPp2 by DNA-binding transcriptional dual regulator Fis	proPp2	+	proP	b4111
Regulation of proPp2 by DNA-binding transcriptional dual regulator Fis	proPp2	+	proP	b4111
Regulation of proVp by DNA-binding transcriptional dual regulator H-NS	proVp	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp1 by DNA-binding transcriptional dual regulator H-NS	proVp1	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator H-NS	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator IHF	proVp3	+	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional dual regulator IHF	proVp3	+	proX // proW // proV	b2679 // b2678 // b2677
Regulation of proVp3 by DNA-binding transcriptional repressor StpA with RNA chaperone activity	proVp3	-	proX // proW // proV	b2679 // b2678 // b2677
Regulation of prpBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	prpBp	+	prpE // prpD // prpC // prpB	b0335 // b0334 // b0333 // b0331
Regulation of prpBp by DNA-binding transcriptional dual regulator Cra	prpBp	-	prpE // prpD // prpC // prpB	b0335 // b0334 // b0333 // b0331
Regulation of prpBp by DNA-binding transcriptional dual regulator PrpR-(2S,3S)-2-methylcitrate	prpBp	+	prpE // prpD // prpC // prpB	b0335 // b0334 // b0333 // b0331
Regulation of prpBp by DNA-binding transcriptional dual regulator PrpR-(2S,3S)-2-methylcitrate	prpBp	+	prpE // prpD // prpC // prpB	b0335 // b0334 // b0333 // b0331
Regulation of prpRp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	prpRp	+	prpR	b0330
Regulation of prpRp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	prpRp	-	prpR	b0330
Regulation of prpRp by DNA-binding transcriptional dual regulator PrpR-(2S,3S)-2-methylcitrate	prpRp	-	prpR	b0330
Regulation of prpRp by DNA-binding transcriptional dual regulator PrpR-(2S,3S)-2-methylcitrate	prpRp	-	prpR	b0330
Regulation of prpRp by DNA-binding transcriptional repressor AscG	prpRp	-	prpR	b0330
Regulation of prpRp by DNA-binding transcriptional repressor AscG	prpRp	-	prpR	b0330
Regulation of prpRp by DNA-binding transcriptional repressor AscG	prpRp	-	prpR	b0330
Regulation of prpRp by DNA-binding transcriptional repressor AscG	prpRp	-	prpR	b0330
Regulation of prpRp by DNA-binding transcriptional repressor AscG	prpRp	-	prpR	b0330
Regulation of prsp by DNA-binding transcriptional repressor PurR-hypoxanthine	prsp	-	prs	b1207
Regulation of psdp by DNA-binding transcriptional dual regulator CpxR-phosphorylated	psdp	-	mscM // psd	b4159 // b4160
Regulation of psiEp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	psiEp	-	psiE	b4030
Regulation of psiEp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	psiEp	+	psiE	b4030
Regulation of psiEp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	psiEp	+	psiE	b4030
Regulation of pspAp by DNA-binding transcriptional dual regulator IHF	pspAp	+	pspA // pspB // pspC // pspD // pspE	b1304 // b1305 // b1306 // b1307 // b1308
Regulation of pspAp by DNA-binding transcriptional dual regulator PspF	pspAp	+	pspA // pspB // pspC // pspD // pspE	b1304 // b1305 // b1306 // b1307 // b1308
Regulation of pspAp by DNA-binding transcriptional dual regulator PspF	pspAp	+	pspA // pspB // pspC // pspD // pspE	b1304 // b1305 // b1306 // b1307 // b1308
Regulation of pspFp1 by DNA-binding transcriptional dual regulator PspF	pspFp1	-	pspF	b1303
Regulation of pspFp1 by DNA-binding transcriptional dual regulator PspF	pspFp1	-	pspF	b1303
Regulation of pspGp by DNA-binding transcriptional dual regulator IHF	pspGp	+	pspH // pspG	b4758 // b4050
Regulation of pspGp by DNA-binding transcriptional dual regulator PspF	pspGp	+	pspH // pspG	b4758 // b4050
Regulation of pstSp by DNA-binding transcriptional dual regulator FNR	pstSp	+	pstA // pstC // pstS // phoU // pstB	b3726 // b3727 // b3728 // b3724 // b3725
Regulation of pstSp by DNA-binding transcriptional dual regulator IHF	pstSp	+	pstA // pstC // pstS // phoU // pstB	b3726 // b3727 // b3728 // b3724 // b3725
Regulation of pstSp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	pstSp	+	pstA // pstC // pstS // phoU // pstB	b3726 // b3727 // b3728 // b3724 // b3725
Regulation of pstSp by DNA-binding transcriptional dual regulator PhoB-phosphorylated	pstSp	+	pstA // pstC // pstS // phoU // pstB	b3726 // b3727 // b3728 // b3724 // b3725
Regulation of pstSp2 by DNA-binding transcriptional dual regulator FNR	pstSp2	+	phoU // pstB // pstA // pstC // pstS	b3724 // b3725 // b3726 // b3727 // b3728
Regulation of pstSp2 by DNA-binding transcriptional dual regulator IHF	pstSp2	+	phoU // pstB // pstA // pstC // pstS	b3724 // b3725 // b3726 // b3727 // b3728
Regulation of pstSp2 by DNA-binding transcriptional dual regulator PhoB-phosphorylated	pstSp2	+	phoU // pstB // pstA // pstC // pstS	b3724 // b3725 // b3726 // b3727 // b3728
Regulation of pstSp2 by DNA-binding transcriptional dual regulator PhoB-phosphorylated	pstSp2	+	phoU // pstB // pstA // pstC // pstS	b3724 // b3725 // b3726 // b3727 // b3728
Regulation of ptrAp by DNA-binding transcriptional repressor LexA	ptrAp	-	ptrA // recB // recD	b2821 // b2820 // b2819
Regulation of ptsGp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsGp1	+	ptsG	b1101
Regulation of ptsGp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsGp1	+	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ptsGp1	-	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ptsGp1	-	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator ArcA-phosphorylated	ptsGp1	-	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis	ptsGp1	-	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis	ptsGp1	-	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis	ptsGp1	+	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis	ptsGp1	-	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis	ptsGp1	-	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis	ptsGp1	+	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator Fis	ptsGp1	-	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional dual regulator SoxS	ptsGp1	+	ptsG	b1101
Regulation of ptsGp1 by DNA-binding transcriptional repressor Mlc	ptsGp1	-	ptsG	b1101
Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis	ptsGp2	-	ptsG	b1101
Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis	ptsGp2	-	ptsG	b1101
Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis	ptsGp2	-	ptsG	b1101
Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis	ptsGp2	-	ptsG	b1101
Regulation of ptsGp2 by DNA-binding transcriptional dual regulator Fis	ptsGp2	-	ptsG	b1101
Regulation of ptsGp2 by DNA-binding transcriptional repressor Mlc	ptsGp2	-	ptsG	b1101
Regulation of ptsHp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp	+	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp by DNA-binding transcriptional dual regulator NagC	ptsHp	-	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp by DNA-binding transcriptional repressor Mlc	ptsHp	-	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp1 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp1	+	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp1 by DNA-binding transcriptional dual regulator Cra	ptsHp1	-	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp2	-	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp2 by DNA-binding transcriptional dual regulator Cra	ptsHp2	+	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp3 by DNA-binding transcriptional dual regulator NagC	ptsHp3	-	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp4	+	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp4 by DNA-binding transcriptional dual regulator NagC	ptsHp4	-	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp4 by DNA-binding transcriptional repressor Mlc	ptsHp4	-	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp5 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	ptsHp5	+	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of ptsHp5 by DNA-binding transcriptional dual regulator NagC	ptsHp5	-	ptsH // ptsI // crr	b2415 // b2416 // b2417
Regulation of purAp by DNA-binding transcriptional activator GadE	purAp	+	purA	b4177
Regulation of purAp by DNA-binding transcriptional dual regulator MarA	purAp	-	purA	b4177
Regulation of purAp by DNA-binding transcriptional repressor PurR-hypoxanthine	purAp	-	purA	b4177
Regulation of purAp by DNA-binding transcriptional repressor PurR-hypoxanthine	purAp	-	purA	b4177
Regulation of purCp by DNA-binding transcriptional repressor PurR-hypoxanthine	purCp	-	purC	b2476
Regulation of purEp by DNA-binding transcriptional repressor PurR-hypoxanthine	purEp	-	purK // purE	b0522 // b0523
Regulation of purHp by DNA-binding transcriptional dual regulator PhoP-phosphorylated	purHp	+	purD // purH	b4005 // b4006
Regulation of purHp by DNA-binding transcriptional dual regulator RbsR	purHp	-	purD // purH	b4005 // b4006
Regulation of purHp by DNA-binding transcriptional repressor PurR-hypoxanthine	purHp	-	purD // purH	b4005 // b4006
Regulation of purLp by DNA-binding transcriptional repressor PurR-hypoxanthine	purLp	-	purL	b2557
Regulation of purMp by DNA-binding transcriptional dual regulator FNR	purMp	-	purM // purN	b2499 // b2500
Regulation of purMp by DNA-binding transcriptional repressor PurR-hypoxanthine	purMp	-	purM // purN	b2499 // b2500
Regulation of purRp by DNA-binding transcriptional repressor PurR-hypoxanthine	purRp	-	purR	b1658
Regulation of purRp by DNA-binding transcriptional repressor PurR-hypoxanthine	purRp	-	purR	b1658
Regulation of purRp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	purRp	-	purR	b1658
Regulation of purTp by DNA-binding transcriptional repressor PurR-hypoxanthine	purTp	-	purT	b1849
Regulation of putAp by DNA-binding transcriptional dual regulator BasR-phosphorylated	putAp	-	putA	b1014
Regulation of putAp by DNA-binding transcriptional dual regulator MarA	putAp	+	putA	b1014
Regulation of putAp by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	putAp	-	putA	b1014
Regulation of putAp by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	putAp	-	putA	b1014
Regulation of putAp by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	putAp	-	putA	b1014
Regulation of putPp1 by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	putPp1	-	putP	b1015
Regulation of putPp1 by fused DNA-binding transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase PutA	putPp1	-	putP	b1015
Regulation of putPp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	putPp4	-	putP	b1015
Regulation of putPp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	putPp4	-	putP	b1015
Regulation of putPp4 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	putPp4	-	putP	b1015
Regulation of puuAp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	puuAp	-	ymjE // puuP // puuA	b4742 // b1296 // b1297
Regulation of puuAp by DNA-binding transcriptional dual regulator FNR	puuAp	-	ymjE // puuP // puuA	b4742 // b1296 // b1297
Regulation of puuAp by DNA-binding transcriptional repressor PuuR	puuAp	-	ymjE // puuP // puuA	b4742 // b1296 // b1297
Regulation of puuAp by DNA-binding transcriptional repressor PuuR	puuAp	-	ymjE // puuP // puuA	b4742 // b1296 // b1297
Regulation of puuAp by DNA-binding transcriptional repressor PuuR	puuAp	-	ymjE // puuP // puuA	b4742 // b1296 // b1297
Regulation of puuAp by DNA-binding transcriptional repressor PuuR	puuAp	-	ymjE // puuP // puuA	b4742 // b1296 // b1297
Regulation of puuDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	puuDp	-	puuE // puuB // puuC // puuR // puuD	b1302 // b1301 // b1300 // b1299 // b1298
Regulation of puuDp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	puuDp	-	puuE // puuB // puuC // puuR // puuD	b1302 // b1301 // b1300 // b1299 // b1298
Regulation of puuDp by DNA-binding transcriptional repressor PuuR	puuDp	-	puuE // puuB // puuC // puuR // puuD	b1302 // b1301 // b1300 // b1299 // b1298
Regulation of puuDp by DNA-binding transcriptional repressor PuuR	puuDp	-	puuE // puuB // puuC // puuR // puuD	b1302 // b1301 // b1300 // b1299 // b1298
Regulation of puuDp by DNA-binding transcriptional repressor PuuR	puuDp	-	puuE // puuB // puuC // puuR // puuD	b1302 // b1301 // b1300 // b1299 // b1298
Regulation of puuDp by DNA-binding transcriptional repressor PuuR	puuDp	-	puuE // puuB // puuC // puuR // puuD	b1302 // b1301 // b1300 // b1299 // b1298
Regulation of pykFp by DNA-binding transcriptional dual regulator Cra	pykFp	-	pykF	b1676
Regulation of pyrCp by DNA-binding transcriptional repressor PurR-hypoxanthine	pyrCp	-	pyrC	b1062
Regulation of pyrCp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	pyrCp	-	pyrC	b1062
Regulation of pyrDp by DNA-binding transcriptional dual regulator Fis	pyrDp	-	pyrD	b0945
Regulation of pyrDp by DNA-binding transcriptional repressor PurR-hypoxanthine	pyrDp	-	pyrD	b0945
Regulation of pyrLp2 by ppGpp	pyrLp2	-	pyrL // pyrI // pyrB	b4246 // b4244 // b4245
Regulation of qorAp by ppGpp	qorAp	+	qorA	b4051
Regulation of qseBp2 by DNA-binding transcriptional dual regulator BasR-phosphorylated	qseBp2	+	qseC // qseB	b3026 // b3025
Regulation of qseBp2 by Phosphorylated DNA-binding transcriptional activator QseB	qseBp2	+	qseC // qseB	b3026 // b3025
Regulation of qseBp2 by Phosphorylated DNA-binding transcriptional activator QseB	qseBp2	+	qseC // qseB	b3026 // b3025
Regulation of queAp by DNA-binding transcriptional dual regulator Fis	queAp	+	queA	b0405
Regulation of queAp by ppGpp	queAp	-	queA	b0405
Regulation of raiAp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	raiAp	+	raiZ // raiA	b4805 // b2597
Regulation of ravAp by DNA-binding transcriptional dual regulator FNR	ravAp	+	ravA // viaA	b3746 // b3745
Regulation of ravAp by DNA-binding transcriptional dual regulator FNR	ravAp	+	ravA // viaA	b3746 // b3745
Regulation of rbsDp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rbsDp	+	rbsZ // rbsR // rbsD // rbsA // rbsC // rbsB // rbsK	b4804 // b3753 // b3748 // b3749 // b3750 // b3751 // b3752
Regulation of rbsDp by DNA-binding transcriptional dual regulator RbsR	rbsDp	-	rbsZ // rbsR // rbsD // rbsA // rbsC // rbsB // rbsK	b4804 // b3753 // b3748 // b3749 // b3750 // b3751 // b3752
Regulation of rclAp by DNA-binding transcriptional activator RclR	rclAp	+	rclC // rclB // rclA	b0301 // b0303 // b0304
Regulation of rcnAp by DNA-binding transcriptional repressor RcnR	rcnAp	-	rcnB // rcnA	b2107 // b2106
Regulation of rcnAp by DNA-binding transcriptional repressor RcnR	rcnAp	-	rcnB // rcnA	b2107 // b2106
Regulation of rcnAp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	rcnAp	-	rcnB // rcnA	b2107 // b2106
Regulation of rcnAp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	rcnAp	-	rcnB // rcnA	b2107 // b2106
Regulation of rcnAp by [2Fe-2S] cluster DNA-binding transcriptional dual regulator	rcnAp	-	rcnB // rcnA	b2107 // b2106
Regulation of rcnRp by DNA-binding transcriptional repressor RcnR	rcnRp	-	rcnR	b2105
Regulation of rcnRp by DNA-binding transcriptional repressor RcnR	rcnRp	-	rcnR	b2105
Regulation of rcsAp by DNA-binding transcriptional activator GadE	rcsAp	+	rcsA	b1951
Regulation of rcsAp by DNA-binding transcriptional dual regulator H-NS	rcsAp	-	rcsA	b1951
Regulation of rcsAp by RcsAB DNA-binding transcriptional dual regulator	rcsAp	+	rcsA	b1951
Regulation of rcsAp by RcsAB DNA-binding transcriptional dual regulator	rcsAp	+	rcsA	b1951
Regulation of rcsDp by DNA-binding transcriptional dual regulator H-NS	rcsDp	-	rcsB // rcsD	b2217 // b2216
Regulation of recAp by DNA-binding transcriptional repressor LexA	recAp	-	recX // recA	b2698 // b2699
Regulation of recNp by DNA-binding transcriptional repressor LexA	recNp	-	recN	b2616
Regulation of recNp by DNA-binding transcriptional repressor LexA	recNp	-	recN	b2616
Regulation of recNp by DnaA-ATP	recNp	-	recN	b2616
Regulation of recNp by DnaA-ATP	recNp	-	recN	b2616
Regulation of recQp by DNA-binding transcriptional repressor LexA	recQp	-	recQ	b3822
Regulation of relAp1 by antitoxin/DNA-binding transcriptional repressor HipB	relAp1	-	mazF // mazE // relA	b2782 // b2783 // b2784
Regulation of relAp1 by HipAB toxin/antitoxin complex / DNA-binding transcriptional repressor	relAp1	-	mazF // mazE // relA	b2782 // b2783 // b2784
Regulation of relAp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	relAp2	+	mazF // mazE // relA	b2782 // b2783 // b2784
Regulation of relAp2 by DNA-binding transcriptional dual regulator H-NS	relAp2	+	mazF // mazE // relA	b2782 // b2783 // b2784
Regulation of relAp2 by ppGpp	relAp2	+	mazF // mazE // relA	b2782 // b2783 // b2784
Regulation of relAp4 by DNA-binding transcriptional dual regulator NtrC-phosphorylated	relAp4	+	relA	b2784
Regulation of relBp by Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB	relBp	-	hokD // relE // relB	b1562 // b1563 // b1564
Regulation of relBp by Qin prophage; antitoxin/DNA-binding transcriptional repressor RelB	relBp	-	hokD // relE // relB	b1562 // b1563 // b1564
Regulation of relBp by RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor	relBp	-	hokD // relE // relB	b1562 // b1563 // b1564
Regulation of relBp by RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor	relBp	-	hokD // relE // relB	b1562 // b1563 // b1564
Regulation of relBp by RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor	relBp	-	hokD // relE // relB	b1562 // b1563 // b1564
Regulation of relBp by RelB-RelE antitoxin/toxin complex / DNA-binding transcriptional repressor	relBp	-	hokD // relE // relB	b1562 // b1563 // b1564
Regulation of rfep by DNA-binding transcriptional dual regulator NsrR	rfep	-	rffM // wzyE // wecF // wzxE // wecE // rffC // rffH // rffG // wecC // wecB // wzzE // wecA	b3794 // b3793 // b4481 // b3792 // b3791 // b3790 // b3789 // b3788 // b3787 // b3786 // b3785 // b3784
Regulation of rhaBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaBp	+	rhaD // rhaA // rhaB	b3902 // b3903 // b3904
Regulation of rhaBp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaBp	+	rhaD // rhaA // rhaB	b3902 // b3903 // b3904
Regulation of rhaBp by RhaS-L-rhamnose DNA-binding transcriptional activator	rhaBp	+	rhaD // rhaA // rhaB	b3902 // b3903 // b3904
Regulation of rhaBp by RhaS-L-rhamnose DNA-binding transcriptional activator	rhaBp	+	rhaD // rhaA // rhaB	b3902 // b3903 // b3904
Regulation of rhaSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaSp	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaSp	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp by DNA-binding transcriptional activator RhaS	rhaSp		rhaS // rhaR	b3905 // b3906
Regulation of rhaSp by RhaR-L-rhamnose DNA-binding transcriptional activator	rhaSp	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp by RhaR-L-rhamnose DNA-binding transcriptional activator	rhaSp	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp by RhaS-L-rhamnose DNA-binding transcriptional activator	rhaSp	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp by RhaS-L-rhamnose DNA-binding transcriptional activator	rhaSp	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaSp2	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp2 by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaSp2	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp2 by DNA-binding transcriptional activator RhaS	rhaSp2		rhaS // rhaR	b3905 // b3906
Regulation of rhaSp2 by RhaR-L-rhamnose DNA-binding transcriptional activator	rhaSp2	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp2 by RhaR-L-rhamnose DNA-binding transcriptional activator	rhaSp2	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp2 by RhaS-L-rhamnose DNA-binding transcriptional activator	rhaSp2	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaSp2 by RhaS-L-rhamnose DNA-binding transcriptional activator	rhaSp2	+	rhaS // rhaR	b3905 // b3906
Regulation of rhaTp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rhaTp	+	rhaT	b3907
Regulation of rhaTp by DNA-binding transcriptional activator RhaS	rhaTp		rhaT	b3907
Regulation of rhaTp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	rhaTp	-	rhaT	b3907
Regulation of rhaTp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	rhaTp	-	rhaT	b3907
Regulation of rhaTp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	rhaTp	-	rhaT	b3907
Regulation of rhaTp by RhaS-L-rhamnose DNA-binding transcriptional activator	rhaTp	+	rhaT	b3907
Regulation of rhaTp by RhaS-L-rhamnose DNA-binding transcriptional activator	rhaTp	+	rhaT	b3907
Regulation of ribAp1 by DNA-binding transcriptional dual regulator SoxS	ribAp1	+	ribA	b1277
Regulation of ridAp by DNA-binding transcriptional dual regulator Lrp	ridAp	+	ridA	b4243
Regulation of rmfp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rmfp	+	rmf	b0953
Regulation of rmfp by DNA binding transcriptional dual regulator RcdA	rmfp	+	rmf	b0953
Regulation of rmfp by DNA-binding transcriptional dual regulator ArcA-phosphorylated	rmfp	-	rmf	b0953
Regulation of rmfp by DNA-binding transcriptional dual regulator McbR	rmfp	+	rmf	b0953
Regulation of rmfp by DNA-binding transcriptional dual regulator SdiA	rmfp	+	rmf	b0953
Regulation of rmfp by DNA-binding transcriptional dual regulator SlyA	rmfp	+	rmf	b0953
Regulation of rmfp by ppGpp	rmfp	+	rmf	b0953
Regulation of rnlAp2 by DNA-binding transcriptional dual regulator IscR	rnlAp2	-	rnlB // rnlA	b2631 // b2630
Regulation of rnpBp by DNA-binding transcriptional dual regulator Fis	rnpBp	+	rnpB	b3123
Regulation of rnpBp by DNA-binding transcriptional dual regulator Fis	rnpBp	+	rnpB	b3123
Regulation of rnpBp by DNA-binding transcriptional dual regulator Fis	rnpBp	+	rnpB	b3123
Regulation of rnpBp by DNA-binding transcriptional dual regulator Fis	rnpBp	-	rnpB	b3123
Regulation of robp by DNA-binding transcriptional dual regulator MarA	robp	-	rob	b4396
Regulation of robp by DNA-binding transcriptional dual regulator Rob	robp	-	rob	b4396
Regulation of robp by DNA-binding transcriptional dual regulator SoxS	robp	-	rob	b4396
Regulation of rpiBp by DNA-binding transcriptional repressor AlsR	rpiBp	-	rpiB	b4090
Regulation of rplJp by DksA-ppGpp	rplJp	-	rplJ // rplL // rpoB // rpoC	b3985 // b3986 // b3987 // b3988
Regulation of rplKp by DksA-ppGpp	rplKp	-	rpoC // rpoB // rplL // rplJ // rplA // rplK	b3988 // b3987 // b3986 // b3985 // b3984 // b3983
Regulation of rplMp by CRP-cyclic-AMP DNA-binding transcriptional dual regulator	rplMp	-	rpsI // rplM	b3230 // b3231
