Gene,Function,Multifunction,Biological Process,Cellular Component,Molecular Function
ebgC,activator,carbon compounds,,GO:0005829 - cytosol,
nupC,activator,"nucleotide and nucleoside conversions; Porters (Uni-, Sym- and Antiporters); membrane",GO:0015861 - cytidine transport; GO:0015862 - uridine transport; GO:1901642 - nucleoside transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0005337 - nucleoside transmembrane transporter activity; GO:0015212 - cytidine transmembrane transporter activity; GO:0015213 - uridine transmembrane transporter activity; GO:0015293 - symporter activity; GO:0015506 - nucleoside:proton symporter activity
fepA,activator,Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily); Fe aquisition; colicin related,GO:0006811 - monoatomic ion transport; GO:0006826 - iron ion transport; GO:0006879 - intracellular iron ion homeostasis; GO:0015685 - ferric-enterobactin import into cell; GO:0015891 - siderophore transport; GO:0033214 - siderophore-dependent iron import into cell; GO:0042914 - colicin transport; GO:0042930 - enterobactin transport; GO:0044718 - siderophore transmembrane transport,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0030313 - cell envelope; GO:1902495 - transmembrane transporter complex,GO:0005515 - protein binding; GO:0015343 - siderophore-iron transmembrane transporter activity; GO:0015344 - siderophore uptake transmembrane transporter activity; GO:0015620 - ferric-enterobactin transmembrane transporter activity; GO:0019904 - protein domain specific binding; GO:0022834 - ligand-gated channel activity; GO:0038023 - signaling receptor activity; GO:0042912 - colicin transmembrane transporter activity; GO:0042931 - enterobactin transmembrane transporter activity; GO:1903981 - enterobactin binding
entD,activator,enterochelin (enterobactin); membrane,GO:0009237 - siderophore metabolic process; GO:0009239 - enterobactin biosynthetic process,GO:0005829 - cytosol; GO:0009366 - enterobactin synthetase complex; GO:0016020 - membrane,"GO:0000287 - magnesium ion binding; GO:0008897 - holo-[acyl-carrier-protein] synthase activity; GO:0016740 - transferase activity; GO:0016780 - phosphotransferase activity, for other substituted phosphate groups; GO:0046872 - metal ion binding"
cyoB,activator,aerobic respiration; electron acceptors; Oxidoreduction-driven Active Transporters; membrane,GO:0006811 - monoatomic ion transport; GO:0009060 - aerobic respiration; GO:0015990 - electron transport coupled proton transport; GO:0019646 - aerobic electron transport chain; GO:0022904 - respiratory electron transport chain; GO:1902600 - proton transmembrane transport,GO:0005886 - plasma membrane; GO:0009319 - cytochrome o ubiquinol oxidase complex; GO:0016020 - membrane; GO:0070469 - respirasome,"GO:0004129 - cytochrome-c oxidase activity; GO:0005507 - copper ion binding; GO:0005515 - protein binding; GO:0009055 - electron transfer activity; GO:0009486 - cytochrome bo3 ubiquinol oxidase activity; GO:0015078 - proton transmembrane transporter activity; GO:0015453 - oxidoreduction-driven active transmembrane transporter activity; GO:0016682 - oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor; GO:0020037 - heme binding; GO:0046872 - metal ion binding; GO:0048039 - ubiquinone binding"
cyoD,activator,aerobic respiration; electron acceptors; membrane,GO:0009060 - aerobic respiration; GO:0015990 - electron transport coupled proton transport; GO:0019646 - aerobic electron transport chain,GO:0005886 - plasma membrane; GO:0009319 - cytochrome o ubiquinol oxidase complex; GO:0016020 - membrane,GO:0005515 - protein binding; GO:0009055 - electron transfer activity; GO:0009486 - cytochrome bo3 ubiquinol oxidase activity; GO:0015078 - proton transmembrane transporter activity; GO:0015453 - oxidoreduction-driven active transmembrane transporter activity; GO:0016491 - oxidoreductase activity
cyoC,activator,aerobic respiration; electron acceptors; Oxidoreduction-driven Active Transporters; membrane,GO:0009060 - aerobic respiration; GO:0015990 - electron transport coupled proton transport; GO:0019646 - aerobic electron transport chain; GO:0022904 - respiratory electron transport chain,GO:0005886 - plasma membrane; GO:0009319 - cytochrome o ubiquinol oxidase complex; GO:0016020 - membrane,GO:0004129 - cytochrome-c oxidase activity; GO:0005515 - protein binding; GO:0009055 - electron transfer activity; GO:0009486 - cytochrome bo3 ubiquinol oxidase activity; GO:0015078 - proton transmembrane transporter activity; GO:0015453 - oxidoreduction-driven active transmembrane transporter activity; GO:0016491 - oxidoreductase activity
cyoA,activator,aerobic respiration; electron acceptors; Oxidoreduction-driven Active Transporters; membrane,GO:0009060 - aerobic respiration; GO:0015990 - electron transport coupled proton transport; GO:0019646 - aerobic electron transport chain; GO:0022900 - electron transport chain; GO:0042773 - ATP synthesis coupled electron transport,GO:0005886 - plasma membrane; GO:0009319 - cytochrome o ubiquinol oxidase complex; GO:0016020 - membrane; GO:0070469 - respirasome,"GO:0004129 - cytochrome-c oxidase activity; GO:0005507 - copper ion binding; GO:0009055 - electron transfer activity; GO:0009486 - cytochrome bo3 ubiquinol oxidase activity; GO:0015078 - proton transmembrane transporter activity; GO:0015453 - oxidoreduction-driven active transmembrane transporter activity; GO:0016491 - oxidoreductase activity; GO:0016682 - oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor"
cyoE,activator,aerobic respiration; membrane,GO:0006783 - heme biosynthetic process; GO:0006784 - heme A biosynthetic process; GO:0048034 - heme O biosynthetic process,GO:0005886 - plasma membrane; GO:0016020 - membrane,"GO:0008495 - protoheme IX farnesyltransferase activity; GO:0016740 - transferase activity; GO:0016765 - transferase activity, transferring alkyl or aryl (other than methyl) groups"
sdhX,activator,antisense RNA,GO:0040033 - sRNA-mediated post-transcriptional gene silencing,,GO:0003729 - mRNA binding; GO:0005515 - protein binding; GO:0048027 - mRNA 5'-UTR binding
sucB,activator,TCA cycle,GO:0006099 - tricarboxylic acid cycle; GO:0033512 - L-lysine catabolic process to acetyl-CoA via saccharopine,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0045252 - oxoglutarate dehydrogenase complex,GO:0004149 - dihydrolipoyllysine-residue succinyltransferase activity; GO:0005515 - protein binding; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0031405 - lipoic acid binding
sucA,activator,TCA cycle,GO:0006099 - tricarboxylic acid cycle,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0045252 - oxoglutarate dehydrogenase complex,"GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0004591 - oxoglutarate dehydrogenase (succinyl-transferring) activity; GO:0005515 - protein binding; GO:0016491 - oxidoreductase activity; GO:0016624 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor; GO:0030976 - thiamine pyrophosphate binding; GO:0042802 - identical protein binding"
sucD,activator,TCA cycle,GO:0006099 - tricarboxylic acid cycle; GO:0046777 - protein autophosphorylation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009361 - succinate-CoA ligase complex (ADP-forming),GO:0000166 - nucleotide binding; GO:0003824 - catalytic activity; GO:0004775 - succinate-CoA ligase (ADP-forming) activity; GO:0004776 - succinate-CoA ligase (GDP-forming) activity; GO:0005515 - protein binding; GO:0016874 - ligase activity
sdhC,activator,TCA cycle; aerobic respiration; electron donors; cytochromes; membrane,GO:0006099 - tricarboxylic acid cycle; GO:0009060 - aerobic respiration; GO:0017004 - cytochrome complex assembly; GO:0019646 - aerobic electron transport chain,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0045281 - succinate dehydrogenase complex,"GO:0008177 - succinate dehydrogenase (quinone) activity; GO:0009055 - electron transfer activity; GO:0016627 - oxidoreductase activity, acting on the CH-CH group of donors; GO:0020037 - heme binding; GO:0046872 - metal ion binding; GO:0048039 - ubiquinone binding"
sucC,activator,TCA cycle,GO:0006099 - tricarboxylic acid cycle; GO:0006104 - succinyl-CoA metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0009361 - succinate-CoA ligase complex (ADP-forming); GO:0042709 - succinate-CoA ligase complex,GO:0000166 - nucleotide binding; GO:0000287 - magnesium ion binding; GO:0003824 - catalytic activity; GO:0004775 - succinate-CoA ligase (ADP-forming) activity; GO:0004776 - succinate-CoA ligase (GDP-forming) activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0046872 - metal ion binding
gltA,activator,TCA cycle,GO:0006099 - tricarboxylic acid cycle; GO:0008152 - metabolic process; GO:0034214 - protein hexamerization,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0003824 - catalytic activity; GO:0004108 - citrate (Si)-synthase activity; GO:0005515 - protein binding; GO:0016740 - transferase activity; GO:0016746 - acyltransferase activity; GO:0036440 - citrate synthase activity; GO:0042802 - identical protein binding; GO:0046912 - acyltransferase activity, acyl groups converted into alkyl on transfer; GO:0070404 - NADH binding"
mdh,activator,carbon compounds; TCA cycle; fermentation; central intermediary metabolism; glyoxylate degradation,GO:0006096 - glycolytic process; GO:0006099 - tricarboxylic acid cycle; GO:0006108 - malate metabolic process; GO:0006113 - fermentation; GO:0009061 - anaerobic respiration; GO:0019752 - carboxylic acid metabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0016020 - membrane; GO:0019898 - extrinsic component of membrane,"GO:0003824 - catalytic activity; GO:0016491 - oxidoreductase activity; GO:0016615 - malate dehydrogenase activity; GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; GO:0030060 - L-malate dehydrogenase activity; GO:0042803 - protein homodimerization activity"
agaA,activator,,GO:0006046 - N-acetylglucosamine catabolic process,GO:0005829 - cytosol,GO:0008448 - N-acetylglucosamine-6-phosphate deacetylase activity; GO:0016787 - hydrolase activity; GO:0047419 - N-acetylgalactosamine-6-phosphate deacetylase activity
kbaZ,activator,carbon compounds,GO:0005975 - carbohydrate metabolic process; GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:2001059 - D-tagatose 6-phosphate catabolic process,GO:0005829 - cytosol; GO:1902494 - catalytic complex,GO:0008047 - enzyme activator activity
agaW,activator,Phosphotransferase Systems (PEP-dependent PTS),GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,
agaV,activator,Phosphotransferase Systems (PEP-dependent PTS),GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0016310 - phosphorylation; GO:0071702 - organic substance transport,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity
fadD,activator,fatty acids; phospholipid,GO:0001676 - long-chain fatty acid metabolic process; GO:0006629 - lipid metabolic process; GO:0006631 - fatty acid metabolic process; GO:0006635 - fatty acid beta-oxidation; GO:0006637 - acyl-CoA metabolic process; GO:0008654 - phospholipid biosynthetic process; GO:0009411 - response to UV; GO:0015908 - fatty acid transport,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0005886 - plasma membrane; GO:0009898 - cytoplasmic side of plasma membrane; GO:0016020 - membrane,GO:0000166 - nucleotide binding; GO:0004467 - long-chain fatty acid-CoA ligase activity; GO:0005504 - fatty acid binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0042803 - protein homodimerization activity; GO:0070538 - oleic acid binding; GO:0102391 - decanoate-CoA ligase activity
sroD,activator,,,,
uhpU,activator,,,,GO:0003729 - mRNA binding; GO:0005515 - protein binding
uhpT,activator,"carbon compounds; Porters (Uni-, Sym- and Antiporters); membrane",GO:0006817 - phosphate ion transport; GO:0015712 - hexose phosphate transport; GO:0015760 - glucose-6-phosphate transport; GO:0035435 - phosphate ion transmembrane transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015526 - hexose-phosphate:inorganic phosphate antiporter activity; GO:0022857 - transmembrane transporter activity; GO:0061513 - glucose 6-phosphate:inorganic phosphate antiporter activity
aldB,activator,carbon compounds,GO:0006974 - DNA damage response; GO:0045471 - response to ethanol,GO:0005829 - cytosol,"GO:0004029 - aldehyde dehydrogenase (NAD+) activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0033721 - aldehyde dehydrogenase (NADP+) activity"
tsx,dual,nucleotide and nucleoside conversions; Beta barrel porins (The Outer Membrane Porin (OMP) Functional Superfamily); prophage genes and phage related functions; colicin related,GO:0006811 - monoatomic ion transport; GO:0015858 - nucleoside transport; GO:0046718 - symbiont entry into host cell; GO:0055085 - transmembrane transport; GO:1901642 - nucleoside transmembrane transport,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0046930 - pore complex,GO:0005337 - nucleoside transmembrane transporter activity; GO:0015288 - porin activity; GO:0015471 - nucleoside-specific channel forming porin activity
gntT,activator,"Porters (Uni-, Sym- and Antiporters); membrane",GO:0019521 - D-gluconate metabolic process; GO:0035429 - gluconate transmembrane transport; GO:0046177 - D-gluconate catabolic process; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015128 - gluconate transmembrane transporter activity
marR,activator,Transcription related; repressor; operon; drug resistance/sensitivity,GO:0006355 - regulation of DNA-templated transcription; GO:0009408 - response to heat; GO:0045892 - negative regulation of DNA-templated transcription; GO:0046677 - response to antibiotic; GO:0071236 - cellular response to antibiotic,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
marA,activator,Transcription related; activator; repressor; operon; detoxification; drug resistance/sensitivity,GO:0006355 - regulation of DNA-templated transcription; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription; GO:0046677 - response to antibiotic,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0043565 - sequence-specific DNA binding
marB,activator,Putative uncharacterized transport protein; detoxification; drug resistance/sensitivity,GO:0046677 - response to antibiotic,GO:0030288 - outer membrane-bounded periplasmic space,
guaB,activator,purine biosynthesis; nucleotide and nucleoside conversions,GO:0006164 - purine nucleotide biosynthetic process; GO:0006177 - GMP biosynthetic process; GO:0006183 - GTP biosynthetic process; GO:0009411 - response to UV; GO:0051289 - protein homotetramerization,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032991 - protein-containing complex,GO:0000166 - nucleotide binding; GO:0003697 - single-stranded DNA binding; GO:0003824 - catalytic activity; GO:0003938 - IMP dehydrogenase activity; GO:0005524 - ATP binding; GO:0016491 - oxidoreductase activity; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding; GO:0097216 - guanosine tetraphosphate binding; GO:1990829 - C-rich single-stranded DNA binding
guaA,activator,purine biosynthesis; nucleotide and nucleoside conversions,GO:0006164 - purine nucleotide biosynthetic process; GO:0006177 - GMP biosynthetic process; GO:0006541 - glutamine metabolic process; GO:0046037 - GMP metabolic process,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0003921 - GMP synthase activity; GO:0003922 - GMP synthase (glutamine-hydrolyzing) activity; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity
treC,activator,carbon compounds,GO:0000025 - maltose catabolic process; GO:0005975 - carbohydrate metabolic process; GO:0005987 - sucrose catabolic process; GO:0005993 - trehalose catabolic process; GO:0006865 - amino acid transport; GO:0006974 - DNA damage response; GO:0008152 - metabolic process; GO:0009313 - oligosaccharide catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,"GO:0004556 - alpha-amylase activity; GO:0004574 - oligo-1,6-glucosidase activity; GO:0004575 - sucrose alpha-glucosidase activity; GO:0008788 - alpha,alpha-phosphotrehalase activity; GO:0016787 - hydrolase activity; GO:0016798 - hydrolase activity, acting on glycosyl bonds; GO:0032450 - maltose alpha-glucosidase activity; GO:0033934 - glucan 1,4-alpha-maltotriohydrolase activity"
treB,activator,misc. glucose metabolism; Phosphotransferase Systems (PEP-dependent PTS); membrane,GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0015771 - trehalose transport; GO:0016310 - phosphorylation; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0005515 - protein binding; GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; GO:0015574 - trehalose transmembrane transporter activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0090589 - protein-phosphocysteine-trehalose phosphotransferase system transporter activity
rhaA,activator,carbon compounds,GO:0019299 - rhamnose metabolic process; GO:0019301 - rhamnose catabolic process; GO:0019324 - L-lyxose metabolic process; GO:0051289 - protein homotetramerization,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:0032991 - protein-containing complex,GO:0008270 - zinc ion binding; GO:0008740 - L-rhamnose isomerase activity; GO:0016853 - isomerase activity; GO:0030145 - manganese ion binding; GO:0033296 - rhamnose binding; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
rhaB,activator,carbon compounds,GO:0005975 - carbohydrate metabolic process; GO:0006071 - glycerol metabolic process; GO:0016310 - phosphorylation; GO:0019299 - rhamnose metabolic process; GO:0019301 - rhamnose catabolic process; GO:0046835 - carbohydrate phosphorylation,GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0004370 - glycerol kinase activity; GO:0005524 - ATP binding; GO:0008993 - rhamnulokinase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity
rhaD,activator,carbon compounds,GO:0005996 - monosaccharide metabolic process; GO:0019299 - rhamnose metabolic process; GO:0019301 - rhamnose catabolic process; GO:0019323 - pentose catabolic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0008270 - zinc ion binding; GO:0008994 - rhamnulose-1-phosphate aldolase activity; GO:0016829 - lyase activity; GO:0016830 - carbon-carbon lyase activity; GO:0016832 - aldehyde-lyase activity; GO:0042802 - identical protein binding; GO:0046872 - metal ion binding
aldA,activator,carbon compounds; methylglyoxal metabolism,GO:0009450 - gamma-aminobutyric acid catabolic process; GO:0019301 - rhamnose catabolic process; GO:0019317 - fucose catabolic process; GO:0042355 - L-fucose catabolic process,GO:0005829 - cytosol; GO:0032991 - protein-containing complex,"GO:0004777 - succinate-semialdehyde dehydrogenase (NAD+) activity; GO:0008911 - lactaldehyde dehydrogenase activity; GO:0016491 - oxidoreductase activity; GO:0016620 - oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; GO:0042802 - identical protein binding; GO:0050569 - glycolaldehyde dehydrogenase activity"
cdd,dual,nucleotide and nucleoside conversions,GO:0006217 - deoxycytidine catabolic process; GO:0009972 - cytidine deamination; GO:0015949 - nucleobase-containing small molecule interconversion,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0001884 - pyrimidine nucleoside binding; GO:0003824 - catalytic activity; GO:0004126 - cytidine deaminase activity; GO:0008270 - zinc ion binding; GO:0016787 - hydrolase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity; GO:0046872 - metal ion binding; GO:0047844 - deoxycytidine deaminase activity
glcC,activator,carbon compounds; Transcription related; activator; repressor; operon,GO:0006355 - regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005515 - protein binding
agp,activator,misc. glucose metabolism,GO:0006007 - glucose catabolic process; GO:0016311 - dephosphorylation,GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,GO:0008877 - glucose-1-phosphatase activity; GO:0016158 - 3-phytase activity; GO:0016787 - hydrolase activity; GO:0042803 - protein homodimerization activity; GO:0050308 - sugar-phosphatase activity
prpR,activator,fatty acids; Transcription related; activator; repressor; operon,"GO:0000160 - phosphorelay signal transduction system; GO:0006355 - regulation of DNA-templated transcription; GO:0009314 - response to radiation; GO:0019629 - propionate catabolic process, 2-methylcitrate cycle; GO:0045892 - negative regulation of DNA-templated transcription; GO:0045893 - positive regulation of DNA-templated transcription",GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000156 - phosphorelay response regulator activity; GO:0000166 - nucleotide binding; GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity; GO:0005524 - ATP binding; GO:0016887 - ATP hydrolysis activity; GO:0043565 - sequence-specific DNA binding
galP,activator,"carbon compounds; Porters (Uni-, Sym- and Antiporters); membrane",GO:0015757 - galactose transmembrane transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015293 - symporter activity; GO:0015517 - galactose:proton symporter activity; GO:0022857 - transmembrane transporter activity
cstA,activator,starvation; membrane,GO:0006849 - plasma membrane pyruvate transport; GO:0009267 - cellular response to starvation; GO:0015031 - protein transport; GO:0015833 - peptide transport; GO:0031669 - cellular response to nutrient levels,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0005477 - pyruvate secondary active transmembrane transporter activity
nanS,activator,carbon compounds,GO:0006054 - N-acetylneuraminate metabolic process; GO:0019752 - carboxylic acid metabolic process,GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space,"GO:0001681 - sialate O-acetylesterase activity; GO:0016787 - hydrolase activity; GO:0016788 - hydrolase activity, acting on ester bonds"
nanM,activator,carbon compounds,GO:0008360 - regulation of cell shape; GO:0019262 - N-acetylneuraminate catabolic process,GO:0030288 - outer membrane-bounded periplasmic space; GO:0042597 - periplasmic space; GO:0051285 - cell cortex of cell tip,"GO:0016853 - isomerase activity; GO:0016857 - racemase and epimerase activity, acting on carbohydrates and derivatives; GO:0042803 - protein homodimerization activity"
nanC,activator,Channel-type Transporters,GO:0006811 - monoatomic ion transport; GO:0015739 - sialic acid transport; GO:0015772 - oligosaccharide transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0046930 - pore complex,GO:0015136 - sialic acid transmembrane transporter activity; GO:0015288 - porin activity; GO:0015478 - oligosaccharide transporting porin activity
argG,activator,arginine,GO:0000050 - urea cycle; GO:0000053 - argininosuccinate metabolic process; GO:0006526 - arginine biosynthetic process; GO:0008652 - amino acid biosynthetic process,GO:0005737 - cytoplasm; GO:0005829 - cytosol,GO:0000166 - nucleotide binding; GO:0004055 - argininosuccinate synthase activity; GO:0005515 - protein binding; GO:0005524 - ATP binding; GO:0016874 - ligase activity; GO:0042802 - identical protein binding; GO:0042803 - protein homodimerization activity
gadE,repressor,Transcription related; activator; pH,GO:0006355 - regulation of DNA-templated transcription; GO:1990451 - cellular stress response to acidic pH,GO:0005667 - transcription regulator complex; GO:0005829 - cytosol,GO:0003677 - DNA binding
mdtE,repressor,Accessory Factors Involved in Transport; drug resistance/sensitivity,GO:0009636 - response to toxic substance; GO:0015721 - bile acid and bile salt transport; GO:0042908 - xenobiotic transport; GO:0046677 - response to antibiotic; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:0030288 - outer membrane-bounded periplasmic space,GO:0015125 - bile acid transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0042802 - identical protein binding
gadF,repressor,,GO:0050794 - regulation of cellular process,,GO:0003729 - mRNA binding; GO:0005515 - protein binding
mdtF,repressor,Electrochemical potential driven transporters; drug resistance/sensitivity; membrane,GO:0006855 - xenobiotic transmembrane transport; GO:0009636 - response to toxic substance; GO:0015721 - bile acid and bile salt transport; GO:0042908 - xenobiotic transport; GO:0046677 - response to antibiotic; GO:0055085 - transmembrane transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015125 - bile acid transmembrane transporter activity; GO:0015562 - efflux transmembrane transporter activity; GO:0022857 - transmembrane transporter activity; GO:0042802 - identical protein binding; GO:0042910 - xenobiotic transmembrane transporter activity
uxuR,activator,carbon compounds; Transcription related; repressor; operon,GO:0006351 - DNA-templated transcription; GO:0006355 - regulation of DNA-templated transcription,GO:0005829 - cytosol,GO:0003677 - DNA binding; GO:0003700 - DNA-binding transcription factor activity
uidA,activator,carbon compounds,GO:0005975 - carbohydrate metabolic process; GO:0008152 - metabolic process; GO:0019391 - glucuronoside catabolic process,GO:0005615 - extracellular space; GO:0005829 - cytosol; GO:0032991 - protein-containing complex,"GO:0004553 - hydrolase activity, hydrolyzing O-glycosyl compounds; GO:0004566 - beta-glucuronidase activity; GO:0005102 - signaling receptor binding; GO:0016787 - hydrolase activity; GO:0016798 - hydrolase activity, acting on glycosyl bonds; GO:0030246 - carbohydrate binding; GO:0042802 - identical protein binding"
uidC,activator,,GO:0006811 - monoatomic ion transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,GO:0009279 - cell outer membrane; GO:0016020 - membrane; GO:0046930 - pore complex,GO:0015288 - porin activity
uidB,activator,"carbon compounds; Porters (Uni-, Sym- and Antiporters); membrane",GO:0006814 - sodium ion transport; GO:0008643 - carbohydrate transport; GO:0055085 - transmembrane transport; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane,GO:0015293 - symporter activity; GO:0022857 - transmembrane transporter activity
ulaA,activator,Phosphotransferase Systems (PEP-dependent PTS),GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0015882 - L-ascorbic acid transmembrane transport; GO:0071702 - organic substance transport,GO:0005886 - plasma membrane; GO:0016020 - membrane; GO:1902495 - transmembrane transporter complex,GO:0042802 - identical protein binding; GO:0090585 - protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity
ulaF,activator,unassigned reversible reactions,GO:0005996 - monosaccharide metabolic process; GO:0019323 - pentose catabolic process; GO:0019852 - L-ascorbic acid metabolic process; GO:0019854 - L-ascorbic acid catabolic process,GO:0005829 - cytosol,GO:0003824 - catalytic activity; GO:0008270 - zinc ion binding; GO:0008742 - L-ribulose-phosphate 4-epimerase activity; GO:0016832 - aldehyde-lyase activity; GO:0016853 - isomerase activity; GO:0046872 - metal ion binding
ulaD,activator,carbon compounds,GO:0006207 - 'de novo' pyrimidine nucleobase biosynthetic process; GO:0019854 - L-ascorbic acid catabolic process,GO:0005829 - cytosol,GO:0000287 - magnesium ion binding; GO:0004590 - orotidine-5'-phosphate decarboxylase activity; GO:0016829 - lyase activity; GO:0016831 - carboxy-lyase activity; GO:0033982 - 3-dehydro-L-gulonate-6-phosphate decarboxylase activity; GO:0046872 - metal ion binding
ulaC,activator,Phosphotransferase Systems (PEP-dependent PTS),GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0015882 - L-ascorbic acid transmembrane transport; GO:0016310 - phosphorylation,GO:0005737 - cytoplasm; GO:0005886 - plasma membrane; GO:1902495 - transmembrane transporter complex,GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0090585 - protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity
ulaB,activator,Phosphotransferase Systems (PEP-dependent PTS),GO:0009401 - phosphoenolpyruvate-dependent sugar phosphotransferase system; GO:0015882 - L-ascorbic acid transmembrane transport; GO:0016310 - phosphorylation,GO:0005737 - cytoplasm; GO:0005829 - cytosol; GO:1902495 - transmembrane transporter complex,GO:0008982 - protein-N(PI)-phosphohistidine-sugar phosphotransferase activity; GO:0016301 - kinase activity; GO:0016740 - transferase activity; GO:0090585 - protein-phosphocysteine-L-ascorbate-phosphotransferase system transporter activity
ulaE,activator,unassigned reversible reactions,GO:0005975 - carbohydrate metabolic process; GO:0019852 - L-ascorbic acid metabolic process; GO:0019854 - L-ascorbic acid catabolic process,GO:0005829 - cytosol,"GO:0016853 - isomerase activity; GO:0016861 - intramolecular oxidoreductase activity, interconverting aldoses and ketoses; GO:0034015 - L-ribulose-5-phosphate 3-epimerase activity"
